Afghanistan, 29835392, 250000, Asia
Albania, 2994667, 11100, Europe
Algeria, 34994937, 919590, Africa
Andorra, 84825, 181, Europe
Angola, 13338541, 481351, Africa
Antigua and Barbuda, 87884, 171, North America
Argentina, 41769726, 1068296, South America
Armenia, 2967975, 11506, Europe
Australia, 21766711, 2967893, Oceania
Austria, 8217280, 32382, Europe
Azerbaijan, 8372373, 33436, Europe
The Bahamas, 313312, 5382, North America
Bahrain, 1214705, 257, Asia
Bangladesh, 158570535, 55598, Asia
Barbados, 286705, 166, North America
Belarus, 9577552, 80154, Europe
Belgium, 10431477, 11787, Europe
Belize, 321115, 8867, North America
Benin, 9325032, 43483, Africa
Bhutan, 708427, 18147, Asia
Bolivia, 10118683, 424162, South America
Bosnia and Herzegovina, 4622163, 19741, Europe
Botswana, 2065398, 231803, Africa
Brazil, 203429773, 3286470, South America
Brunei, 401890, 2228, Asia
Bulgaria, 7093635, 42822, Europe
Burkina Faso, 16751455, 105869, Africa
Burundi, 10216190, 10745, Africa
Cambodia, 14701717, 69900, Asia
Cameroon, 19711291, 183567, Africa
Canada, 34030589, 3855081, North America
Cape Verde, 516100, 1557, Africa
Central African Republic, 4950027, 240534, Africa
Chad, 10758945, 495752, Africa
Chile, 16888760, 292258, South America
China, 1336718015, 3705386, Asia
Colombia, 44725543, 439733, South America
Comoros, 794683, 838, Africa
Democratic Republic of the Congo, 71712867, 905563, Africa
Republic of the Congo, 4243929, 132046, Africa
Costa Rica, 4576562, 19730, North America
Cote d'Ivoire, 21504162, 124502, Africa
Croatia, 4483804, 21831, Europe
Cuba, 11087330, 42803, North America
Cyprus, 1120489, 3571, Europe
Czech Republic, 10190213, 30450, Europe
Denmark, 5529888, 16639, Europe
Djibouti, 757074, 8880, Africa
Dominica, 72969, 291, North America
Dominican Republic, 9956648, 18815, North America
Ecuador, 15007343, 109483, South America
Egypt, 82079636, 386660, Africa
El Salvador, 6071774, 8124, North America
Equatorial Guinea, 668225, 10830, Africa
Eritrea, 5939484, 46842, Africa
Estonia, 1282963, 17462, Europe
Ethiopia, 90873739, 435184, Africa
Fiji, 883125, 7054, Oceania
Finland, 5259250, 130558, Europe
France, 65312249, 211208, Europe
Gabon, 1576665, 103346, Africa
Gambia, 1797860, 4363, Africa
Georgia, 4585874, 26911, Europe
Germany, 81471834, 137846, Europe
Ghana, 24791073, 92456, Africa
Greece, 10760136, 50942, Europe
Grenada, 108419, 133, North America
Guatemala, 13824463, 42042, North America
Guinea, 10601009, 94925, Africa
Guinea-Bissau, 1596677, 13946, Africa
Guyana, 744768, 83000, South America
Haiti, 9719932, 10714, North America
Honduras, 8143564, 43278, North America
Hungary, 9976062, 35919, Europe
Iceland, 311058, 39768, Europe
India, 1189172906, 1269338, Asia
Indonesia, 245613043, 741096, Asia
Iran, 77891220, 636293, Asia
Iraq, 30399572, 168753, Asia
Ireland, 4670976, 27135, Europe
Israel, 7473052, 8019, Asia
Italy, 61016804, 116305, Europe
Jamaica, 2868380, 4244, North America
Japan, 126475664, 145882, Asia
Jordan, 6508271, 35637, Asia
Kazakhstan, 15522373, 1049150, Asia
Kenya, 41070934, 224961, Africa
Kiribati, 100743, 313, Oceania
North Korea, 24457492, 46540, Asia
South Korea, 48754657, 38023, Asia
Kosovo, 1825632, 4211, Europe
Kuwait, 3851000, 6880, Asia
Kyrgyzstan, 5587443, 76641, Asia
Laos, 6477211, 91428, Asia
Latvia, 2204708, 24938, Europe
Lebanon, 4143101, 4015, Asia
Lesotho, 1924886, 11720, Africa
Liberia, 3786764, 43000, Africa
Libya, 6597960, 679358, Africa
Liechtenstein, 35236, 62, Europe
Lithuania, 3535547, 25174, Europe
Luxembourg, 503302, 998, Europe
Macedonia, 2077328, 9781, Europe
Madagascar, 21926221, 226656, Africa
Malawi, 15879252, 45745, Africa
Malaysia, 28728607, 127316, Asia
Maldives, 394999, 116, Asia
Mali, 14159904, 478764, Africa
Malta, 408333, 122, Europe
Marshall Islands, 67182, 4577, Oceania
Mauritania, 3281634, 397953, Africa
Mauritius, 1303717, 788, Africa
Mexico, 113724226, 761602, North America
Federated States of Micronesia, 106836, 271, Oceania
Moldova, 4314377, 13067, Europe
Monaco, 30539, 1, Europe
Mongolia, 3133318, 603905, Asia
Montenegro, 661807, 5415, Europe
Morocco, 31968361, 172413, Africa
Mozambique, 22948858, 309494, Africa
Myanmar (Burma), 53999804, 261969, Asia
Namibia, 2147585, 318694, Africa
Nauru, 9322, 8, Oceania
Nepal, 29391883, 54363, Asia
Netherlands, 16847007, 16033, Europe
New Zealand, 4290347, 103737, Oceania
Nicaragua, 5666301, 49998, North America
Niger, 16468886, 489189, Africa
Nigeria, 155215573, 356667, Africa
Norway, 4691849, 125181, Europe
Oman, 3027959, 82031, Asia
Pakistan, 187342721, 310401, Asia
Palau, 20956, 177, Oceania
Panama, 3460462, 30193, North America
Papua New Guinea, 6187591, 178703, Oceania
Paraguay, 6459058, 157046, South America
Peru, 29248943, 496223, South America
Philippines, 101833938, 115830, Asia
Poland, 38441588, 120728, Europe
Portugal, 10760305, 35672, Europe
Qatar, 848016, 4416, Asia
Romania, 21904551, 91669, Europe
Russia, 138739892, 6592735, Asia
Rwanda, 11370425, 10169, Africa
Saint Kitts and Nevis, 50314, 101, North America
Saint Lucia, 161557, 238, North America
Saint Vincent and the Grenadines, 103869, 150, North America
Samoa, 193161, 1137, Oceania
San Marino, 31817, 24, Europe
Sao Tome and Principe, 179506, 386, Africa
Saudi Arabia, 26131703, 756981, Asia
Senegal, 12643799, 75749, Africa
Serbia, 7310555, 29913, Europe
Seychelles, 89188, 176, Africa
Sierra Leone, 5363669, 27699, Africa
Singapore, 5287000, 267, Asia
Slovakia, 5477038, 18859, Europe
Slovenia, 2000092, 7827, Europe
Solomon Islands, 571890, 10985, Oceania
Somalia, 9925640, 246199, Africa
South Africa, 49004031, 471008, Africa
